,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG
0,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-01,10.74,0.0,0.0,0.0,50.0
1,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-02,8.28,0.0,0.0,0.0,40.0
2,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-03,10.51,0.0,0.0,0.0,40.0
3,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-04,4.25,0.04,0.0,0.0,37.0
4,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-05,8.05,0.11,0.0,0.0,48.0
5,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-06,5.59,0.0,0.0,0.0,47.0
6,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-07,5.82,0.0,0.0,0.0,50.0
7,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-08,4.92,0.0,0.0,0.0,64.0
8,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-09,6.71,0.0,0.0,0.0,73.0
9,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-10,7.61,0.0,0.0,0.0,76.0
10,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-11,9.62,0.0,0.0,0.0,72.0
11,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-12,10.29,0.67,0.0,0.0,55.0
12,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-13,5.14,0.0,0.0,0.0,54.0
13,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-14,5.59,0.0,0.0,0.0,54.0
14,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-15,8.28,0.0,0.0,0.0,56.0
15,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-16,6.04,0.0,0.0,0.0,60.0
16,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-17,5.82,0.0,0.0,0.0,65.0
17,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-18,9.17,0.04,0.0,0.0,63.0
18,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-19,7.83,0.79,0.0,0.0,66.0
19,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-20,10.29,0.07,0.0,0.0,54.0
20,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-21,4.92,0.0,0.0,0.0,47.0
21,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-22,11.18,0.0,0.0,0.0,46.0
22,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-23,6.26,0.0,0.0,0.0,51.0
23,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-24,6.93,0.0,0.0,0.0,56.0
24,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-25,7.16,0.0,0.0,0.0,58.0
25,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-26,4.25,0.0,0.0,0.0,55.0
26,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-27,4.47,0.0,0.0,0.0,55.0
27,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-28,5.37,0.0,0.0,0.0,57.0
28,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-29,7.16,0.26,0.0,0.0,56.0
29,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-04-30,7.83,0.22,0.0,0.0,56.0
30,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-01,8.5,0.0,0.0,0.0,57.0
31,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-02,4.92,0.0,0.0,0.0,56.0
32,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-03,8.5,0.0,0.0,0.0,56.0
33,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-04,8.28,0.0,0.0,0.0,55.0
34,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-05,9.62,0.0,0.0,0.0,53.0
35,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-06,10.96,0.03,0.0,0.0,54.0
36,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-07,13.65,0.8,0.0,0.0,59.0
37,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-08,3.8,0.17,0.0,0.0,61.0
38,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-09,4.25,0.0,0.0,0.0,61.0
39,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-10,4.03,0.62,0.0,0.0,68.0
40,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-11,4.7,0.61,0.0,0.0,68.0
41,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-12,10.96,0.0,0.0,0.0,61.0
42,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-13,7.61,0.0,0.0,0.0,51.0
43,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-14,4.92,0.0,0.0,0.0,49.0
44,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-15,5.59,0.0,0.0,0.0,62.0
45,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-16,8.72,0.0,0.0,0.0,75.0
46,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-17,5.59,0.0,0.0,0.0,71.0
47,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-18,7.38,0.02,0.0,0.0,65.0
48,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-19,5.82,0.0,0.0,0.0,63.0
49,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-20,2.91,0.0,0.0,0.0,69.0
50,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-21,4.25,0.0,0.0,0.0,73.0
51,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-05-22,5.14,0.01,0.0,0.0,76.0
