,ReportDate,CrashCount,Year,Month,Day
0,2013/04/01,49,2013,04,01
1,2013/04/02,35,2013,04,02
2,2013/04/03,49,2013,04,03
3,2013/04/04,38,2013,04,04
4,2013/04/05,60,2013,04,05
5,2013/04/06,49,2013,04,06
6,2013/04/07,52,2013,04,07
7,2013/04/08,64,2013,04,08
8,2013/04/09,59,2013,04,09
9,2013/04/10,70,2013,04,10
10,2013/04/11,55,2013,04,11
11,2013/04/12,49,2013,04,12
12,2013/04/13,53,2013,04,13
13,2013/04/14,58,2013,04,14
14,2013/04/15,52,2013,04,15
15,2013/04/16,46,2013,04,16
16,2013/04/17,62,2013,04,17
17,2013/04/18,64,2013,04,18
18,2013/04/19,73,2013,04,19
19,2013/04/20,47,2013,04,20
20,2013/04/21,40,2013,04,21
21,2013/04/22,52,2013,04,22
22,2013/04/23,46,2013,04,23
23,2013/04/24,47,2013,04,24
24,2013/04/25,65,2013,04,25
25,2013/04/26,55,2013,04,26
26,2013/04/27,44,2013,04,27
27,2013/04/28,54,2013,04,28
28,2013/04/29,66,2013,04,29
29,2013/04/30,62,2013,04,30
30,2013/05/01,45,2013,05,01
31,2013/05/02,55,2013,05,02
32,2013/05/03,65,2013,05,03
33,2013/05/04,60,2013,05,04
34,2013/05/05,49,2013,05,05
35,2013/05/06,48,2013,05,06
36,2013/05/07,41,2013,05,07
37,2013/05/08,64,2013,05,08
38,2013/05/09,42,2013,05,09
39,2013/05/10,64,2013,05,10
40,2013/05/11,49,2013,05,11
41,2013/05/12,47,2013,05,12
42,2013/05/13,46,2013,05,13
43,2013/05/14,50,2013,05,14
44,2013/05/15,58,2013,05,15
45,2013/05/16,62,2013,05,16
46,2013/05/17,54,2013,05,17
47,2013/05/18,49,2013,05,18
48,2013/05/19,47,2013,05,19
49,2013/05/20,45,2013,05,20
50,2013/05/21,78,2013,05,21
51,2013/05/22,57,2013,05,22
52,2013/05/23,60,2013,05,23
53,2013/05/24,59,2013,05,24
54,2013/05/25,41,2013,05,25
55,2013/05/26,39,2013,05,26
56,2013/05/27,24,2013,05,27
57,2013/05/28,56,2013,05,28
58,2013/05/29,54,2013,05,29
59,2013/05/30,59,2013,05,30
60,2013/05/31,62,2013,05,31
61,2013/06/01,46,2013,06,01
62,2013/06/02,42,2013,06,02
63,2013/06/03,42,2013,06,03
64,2013/06/04,52,2013,06,04
65,2013/06/05,43,2013,06,05
66,2013/06/06,54,2013,06,06
67,2013/06/07,61,2013,06,07
68,2013/06/08,46,2013,06,08
69,2013/06/09,37,2013,06,09
70,2013/06/10,54,2013,06,10
71,2013/06/11,56,2013,06,11
72,2013/06/12,63,2013,06,12
73,2013/06/13,41,2013,06,13
74,2013/06/14,62,2013,06,14
75,2013/06/15,58,2013,06,15
76,2013/06/16,40,2013,06,16
77,2013/06/17,46,2013,06,17
78,2013/06/18,50,2013,06,18
79,2013/06/19,44,2013,06,19
80,2013/06/20,40,2013,06,20
81,2013/06/21,73,2013,06,21
82,2013/06/22,53,2013,06,22
83,2013/06/23,39,2013,06,23
84,2013/06/24,51,2013,06,24
85,2013/06/25,62,2013,06,25
86,2013/06/26,39,2013,06,26
87,2013/06/27,67,2013,06,27
88,2013/06/28,54,2013,06,28
89,2013/06/29,56,2013,06,29
90,2013/06/30,35,2013,06,30
91,2013/07/01,58,2013,07,01
92,2013/07/02,53,2013,07,02
93,2013/07/03,56,2013,07,03
94,2013/07/04,59,2013,07,04
95,2013/07/05,64,2013,07,05
96,2013/07/06,46,2013,07,06
97,2013/07/07,43,2013,07,07
98,2013/07/08,43,2013,07,08
99,2013/07/09,46,2013,07,09
100,2013/07/10,52,2013,07,10
